"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"description"	"MIV0_avg"	"MIV2_avg"	"log2FC"
"gene-HI_0012"	755.190138334638	0.0120852672158865	0.217369135341286	0.0555978989239282	0.955662138333568	0.964020598017002	"."	"conserved_hypothetical_protein"	64.4233333333333	71.42	0.146582909888689
"gene-HI_0013"	1726.58828479891	-1.18816424205385	0.213434838001914	-5.56687114988787	2.59354025562621e-08	1.43966263234283e-07	"era"	"GTP-binding_protein"	224.543333333333	108.493333333333	-1.04256161130602
"gene-HI_0014"	2162.88652351453	-0.605046071107712	0.234210063570703	-2.58334787960578	0.00978466060622226	0.023394600050268	"rnc"	"ribonuclease_III"	324.5	233.856666666667	-0.470876996716949
"gene-HI_0015"	2791.33864822224	-0.927343662356561	0.185558828300307	-4.99757231089946	5.80565711135189e-07	2.8187354721689e-06	"lepB"	"signal_peptidase_I"	296.416666666667	171.623333333333	-0.784858010126108
"gene-HI_0016"	6100.42389388944	-0.310137055878034	0.195730498528617	-1.58451063175875	0.11307756416643	0.188091128340639	"lepA"	"GTP-binding_membrane_protein"	319.683333333333	284.166666666667	-0.169344021481778
"gene-HI_0017"	4828.52726489272	1.10874018721306	0.256503052125624	4.32252239505535	1.54255419800236e-05	6.25272550492582e-05	"."	"conserved_hypothetical_protein"	677.52	1600.61333333333	1.23906264354029
"gene-HI_0018"	512.440487128645	0.766385296451034	0.312673612236535	2.45107123357526	0.0142431763220111	0.0325371642585392	"ung"	"uracil_DNA_glycosylase"	49.0133333333333	91.93	0.893831645572264
"gene-HI_0019"	5238.87379191679	-1.22264039670204	0.165697226497541	-7.37876198984046	1.59768148609176e-13	1.40644385366563e-12	"."	"conserved_hypothetical_protein"	438.036666666667	206.566666666667	-1.08076665468153
"gene-HI_0020"	7563.89741092895	0.291884833231079	0.277279948788935	1.05267198189387	0.292491354067391	0.410316896235957	"."	"transport_protein%2C_putative"	401.876666666667	537.35	0.41820617227072
"gene-HI_0021"	3748.96967474349	0.58266408685157	0.270542624701968	2.15368682658948	0.0312647399227936	0.063145355371297	"citG"	"citG_protein"	204.16	334.256666666667	0.708516544356052
"gene-HI_0022"	7321.86493255919	0.546476401482514	0.30557127076186	1.78837624401018	0.0737153263700574	0.133008088885104	"citF"	"citrate_lyase%2C_alpha_chain"	337.303333333333	543.046666666667	0.685413014564935
"gene-HI_0023"	6658.08732624066	0.700888301535401	0.236469093836428	2.96397423512869	0.00303693713078	0.0081019026419381	"citE"	"citrate_lyase%2C_beta_chain"	492.94	879.946666666667	0.834718874635812
"gene-HI_0024"	2291.15466466682	1.11840487452521	0.257669933871827	4.34045547231574	1.42187680523507e-05	5.77699597092012e-05	"citD"	"citrate_lyase%2C_gamma_chain"	427.196666666667	1022.27333333333	1.25684609431392
"gene-HI_0025"	3661.16189432432	0.34768092583096	0.227695041520566	1.52695870542072	0.126771280137987	0.206314044146136	"citC"	"citrate_lyase_ligase"	272.013333333333	379.296666666667	0.478153882955735
"gene-HI_0026"	3418.61828609241	-1.2209807412817	0.197579011455836	-6.17970872657503	6.42199759676793e-10	4.28871333761169e-09	"lipA"	"lipoate_biosynthesis_protein_A"	422.646666666667	199.933333333333	-1.07614460149224
"gene-HI_0027"	1819.6520070462	-0.426787978544662	0.218383071547703	-1.95430889180179	0.050664697923972	0.0967235142184921	"lipB"	"lipoate_biosynthesis_protein_B"	277.746666666667	226.826666666667	-0.291017931403003
"gene-HI_0028"	655.186814374553	-0.795472581654126	0.215779116288258	-3.68651329812409	0.000227347567085386	0.000780052774468166	"."	"conserved_hypothetical_protein"	253.526666666667	160.613333333333	-0.655270587432731
"gene-HI_0029"	2844.64013722554	-0.745657288363227	0.23104869234577	-3.22727335434269	0.00124976004868318	0.00368584054966968	"dacA"	"penicillin-binding_protein_5"	256.436666666667	167.696666666667	-0.609786083818707
"gene-HI_0030"	1077.54573875046	-0.694957508373117	0.251513637993225	-2.76310069671783	0.00572550997264868	0.0145262938607375	"."	"lipoprotein%2C_putative"	131.093333333333	88.88	-0.555485626888866
"gene-HI_0031"	1174.29178929181	-0.252017182295211	0.252368309629861	-0.998608671052381	0.317984298015781	0.438683875177802	"rodA"	"rod_shape-determining_protein"	97.2566666666667	89.5933333333333	-0.117150409053385
"gene-HI_0032"	1994.3256021495	-0.846059296476015	0.213210570686578	-3.96818644475059	7.24216655299565e-05	0.000265191098778811	"pbp2"	"penicillin-binding_protein_2"	111.45	68.51	-0.693991211079201
"gene-HI_0033"	1766.01882952296	-0.0942659145882638	0.222888557899408	-0.422928460198513	0.672347457443036	0.762844651074622	"."	"conserved_hypothetical_protein"	331.413333333333	341.95	0.0450200048838478
"gene-HI_0034"	830.132695133267	-0.704398753282691	0.257846610037665	-2.73185190675882	0.00629794427984844	0.0157947005464401	"."	"conserved_hypothetical_protein"	283.2	191.596666666667	-0.561323820376916
"gene-HI_0035"	1807.82959578782	2.90463819275015	0.420779802521133	6.9029886305065	5.09197068078961e-12	4.16680981061798e-11	"."	"conserved_hypothetical_protein"	21.9333333333333	181.65	2.99356378438108
"gene-HI_0036"	1972.70095417668	-2.00473793736097	0.190122155102807	-10.5444730324928	5.38740220219686e-26	9.58187963105013e-25	"."	"ABC_transporter%2C_ATP-binding_protein"	151.11	41.46	-1.84093872533351
"gene-HI_0037"	4149.33996075036	-0.713338835400002	0.196298812551577	-3.633943711262	0.000279121781946136	0.000937397429541649	"mreB"	"rod_shape-determining_protein"	385.896666666667	258.21	-0.577826922522162
"gene-HI_0038"	706.076174403476	-0.878932624665961	0.263704783678294	-3.33301737043274	0.00085909578568022	0.00266109515079991	"mreC"	"rod_shape-determining_protein"	73.7233333333333	44.47	-0.716643809586724
"gene-HI_0039"	416.959293791684	-1.08128664235917	0.29954596441034	-3.60975199411449	0.000306489900116712	0.00102535872534247	"mreD"	"rod_shape-determining_protein"	98.54	51.7433333333333	-0.916287635844605
"gene-HI_0040"	1516.75733848782	-0.360875338875968	0.268481516918328	-1.34413475839287	0.17890481408205	0.272818102314097	"."	"conserved_hypothetical_protein"	186.846666666667	160.823333333333	-0.215135870423117
"gene-HI_0041"	2643.30095546487	-0.0817826324010061	0.18006327089757	-0.454188308328179	0.649693297398721	0.746975868974915	"xthA"	"exodeoxyribonuclease_III"	287.72	298.726666666667	0.0539763977202083
"gene-HI_0042"	352.384817162277	-0.619232186123739	0.399753151258392	-1.54903640953034	0.121372967828176	0.198641392417381	"."	"conserved_hypothetical_protein"	53.85	39.1033333333333	-0.451769464157597
"gene-HI_0043"	298.653474447283	-0.993758542256724	0.42065023379847	-2.36243430387067	0.0181553589995419	0.0398047682216371	"."	"conserved_hypothetical_transmembrane_protein"	31.7766666666667	17.8633333333333	-0.797084505474449
"gene-HI_0044"	5713.6334074351	-0.0210322674052311	0.265593078683325	-0.0791898174060046	0.936881643690573	0.954435216486494	"."	"conserved_hypothetical_transmembrane_protein"	738.423333333333	796.28	0.108685909029069
"gene-HI_0045"	435.786348847559	-0.701183296866133	0.237059480394179	-2.95783697703301	0.00309805921165453	0.008231581106576	"."	"conserved_hypothetical_protein"	82.7266666666667	56.2466666666667	-0.548495498515214
"gene-HI_0046"	385.522027611327	-0.810851220673859	0.36102412655439	-2.24597516075342	0.0247055989709359	0.0515901981364152	"phnA"	"alkylphosphonate_uptake_protein"	115.15	72.3066666666667	-0.663972842904373
"gene-HI_0047"	1745.4989946657	1.96868508279974	0.25799077880106	7.63083507072871	2.33237914450387e-14	2.22149554583073e-13	"eda"	"4-hydroxy-2-oxoglutarate_aldolase/2-deydro-3-deoxyphosphogluconate_aldolase"	94.5333333333333	404.826666666667	2.08678755809774
"gene-HI_0048"	2075.69107330901	1.93572336639129	0.185497901923492	10.4352844227299	1.71100581369755e-25	2.92380699340669e-24	"."	"oxidoreductase"	85.2866666666667	358.496666666667	2.05876884254497
"gene-HI_0049"	1587.88922201903	1.8190909430899	0.268059221410237	6.78615319972883	1.15162861657833e-11	9.16570172920558e-11	"kdgK"	"2-dehydro-3-deoxygluconokinase"	63.0866666666667	243.763333333333	1.93329131373301
"gene-HI_0050"	1455.84071344335	2.1073720604216	0.194391194635113	10.8408822960181	2.20335738229119e-27	4.12951819068122e-26	"."	"conserved_hypothetical_transmembrane_protein"	38.7066666666667	183.54	2.21648040348611
"gene-HI_0051"	364.558554971957	3.3277957164372	0.437185655452182	7.61185934381871	2.70180507130835e-14	2.54553850772457e-13	"."	"conserved_hypothetical_transmembrane_protein"	11.3033333333333	125.333333333333	3.36011420570021
"gene-HI_0052"	2683.69664679635	5.03770919475175	0.385182721577039	13.0787517522231	4.35533542005692e-39	1.3802453885744e-37	"."	"conserved_hypothetical_protein"	13.69	496.656666666667	5.0822444691569
"gene-HI_0053"	2972.49124805287	4.76660338950524	0.283522802642201	16.8120635980047	1.99117387964256e-63	1.23950574007749e-61	"."	"zinc-type_alcohol_dehydrogenase"	17.3833333333333	526.033333333333	4.84142392082682
"gene-HI_0054"	927.517267440854	0.491043639515835	0.284198319915887	1.72782034623275	0.0840204384488175	0.147479984105024	"uxuR"	"uxu_operon_regulator"	81.9366666666667	127.276666666667	0.629176800510002
"gene-HI_0055"	4919.61041241444	1.56585356467935	0.193891989603035	8.0759064254547	6.69772303191299e-16	6.94888764560973e-15	"uxuA"	"mannonate_dehydratase"	178.323333333333	581.73	1.70026436302232
"gene-HI_0056"	2538.26891356454	-1.51152215545981	0.214729592218163	-7.03918886933907	1.93362126441498e-12	1.62816515163059e-11	"."	"conserved_hypothetical_transmembrane_protein"	447.696666666667	172.456666666667	-1.37116517587586
"gene-HI_0057"	2007.04110201167	-0.354648654862141	0.187924077861173	-1.88719114069105	0.0591346214719247	0.11118839830158	"uvrC"	"excinuclease_ABC%2C_subunit_C"	104.716666666667	89.9466666666667	-0.217110174453595
"gene-HI_0058"	1156.50466165834	-0.29076184499566	0.198375767954786	-1.46571251112651	0.142726624289484	0.226568766973197	"kdsB"	"3-deoxy-D-manno-octulosonate_cytidylyltransferase"	141.57	127.146666666667	-0.153874485636275
"gene-HI_0059"	598.704627799405	-0.357013991059341	0.294166028041701	-1.21364793017068	0.224882195870117	0.330218759394789	"."	"conserved_hypothetical_protein"	57.2233333333333	48.9666666666667	-0.220631459841196
"gene-HI_0060"	5319.54110004796	-0.733259220891625	0.177993611507109	-4.11958167870726	3.79560861363397e-05	0.000147016573634756	"msbA"	"ABC_transporter%2C_ATP-binding_protein"	320.453333333333	212.336666666667	-0.591477364617217
"gene-HI_0061"	1267.78205846286	4.13232184734996	0.213974355635048	19.3122294262122	4.2387423883985e-83	4.61757998936161e-81	"rec2"	"recombination_protein"	4.91666666666667	94.7166666666667	4.01591363199399
"gene-HI_0062"	3047.28043187605	-1.01510191499748	0.262064619959006	-3.87347943097494	0.000107292465955671	0.000380103187318565	"dksA"	"dnaK_suppressor_protein"	791.853333333333	428.316666666667	-0.885011831118405
"gene-HI_0063"	3095.70224145863	-0.873518089658027	0.213019147911737	-4.10065526137568	4.11981913970814e-05	0.000158517544382148	"pcnB"	"poly(A)_polymerase"	250.69	150.186666666667	-0.735316985156955
"gene-HI_0064"	948.434492960023	-0.715900511940067	0.283337866644786	-2.52666726271916	0.0115150541438933	0.0269768002322661	"folK"	"2-amino-4-hydroxy-6-hydroxymethyldihydropteridine-pyrophosphokinase"	207.493333333333	138.77	-0.576946517314441
"gene-HI_0065"	1019.90548158064	0.0868955348224467	0.258473534995532	0.336187357920217	0.73672958559281	0.811706490321282	"."	"conserved_hypothetical_protein"	176.363333333333	205.626666666667	0.220318667140678
"gene-HI_0066"	1202.87991797046	-0.161125532793432	0.221290965401697	-0.728116181792376	0.466542469001862	0.582509687299603	"."	"N-acetylmuramoyl-L-alanine_amidase%2C_putative"	83.2233333333333	82.1166666666667	-0.0190821774627442
"gene-HI_0067"	4036.96758303682	-0.189397425438271	0.302027670037831	-0.627086337535062	0.530602642372243	0.644488087564335	"mutL"	"DNA_mismatch_repair_protein"	193.466666666667	185.803333333333	-0.0580026866741933
"gene-HI_0068"	1466.98255111214	-0.0611991197895819	0.280709768610359	-0.21801563975684	0.827416925750132	0.876177218458372	"trpX"	"tRNA_delta(2)-isopentenylpyrophosphate_transferase"	136.06	142.756666666667	0.0688212699898296
"gene-HI_0069"	4852.31072567568	0.760613285703727	0.224342204697958	3.39041548926461	0.000697867674844988	0.00218773985117772	"glnE"	"glutamate-ammonia-ligase_adenylyltransferase"	103.983333333333	193.486666666667	0.889510941916376
"gene-HI_0070"	3339.09873852792	0.370780941706398	0.181194420967194	2.04631544242485	0.0407253453393314	0.0802989557991568	"recN"	"DNA_repair_protein"	147.75	210.476666666667	0.507608823570882
"gene-HI_0071"	2576.80112346836	-0.650548488369496	0.263968528396735	-2.46449261326996	0.0137207391652603	0.031550459584497	"grpE"	"heat_shock_protein"	379.86	266.076666666667	-0.512006836682471
"gene-HI_0072"	1677.90038681525	0.367787477660192	0.220852551172465	1.6653078069856	0.095851361780552	0.163953801357706	"."	"conserved_hypothetical_protein"	158.523333333333	224.62	0.500127499444091
"gene-HI_0073"	811.173648187825	0.426344726577682	0.274963181306876	1.55055205773843	0.121009068890697	0.198418445039027	"."	"predicted_coding_region_HI0073"	170.626666666667	250.766666666667	0.552813555709537
"gene-HI_0074"	858.739422978752	0.325365722228647	0.299209750638681	1.08741684231257	0.276852631160948	0.393279654534256	"."	"predicted_coding_region_HI0074"	147.13	203.033333333333	0.461941015667541
"gene-HI_0075"	4537.06890524598	0.126507383051846	0.415463333469101	0.304497106869853	0.760749196555206	0.829763946570374	"nrdD"	"anaerobic_ribonucleoside-triphosphate_reductase"	173.456666666667	208.76	0.26587086110696
"gene-HI_0076"	1670.01308972956	-0.788334138385852	0.215743136825096	-3.65404040187363	0.00025814562010031	0.000873685079290951	"tesB"	"acyl-CoA_thioesterase_II"	209.026666666667	132.883333333333	-0.649596139837431
"gene-HI_0077"	1104.51148350069	-0.374286686891183	0.258935339306565	-1.44548321559171	0.148322204179204	0.233748283801404	"."	"predicted_coding_region_HI0077"	122.29	103.38	-0.24021048102755
"gene-HI_0078"	4742.56134744424	-0.50534423472967	0.272705641053087	-1.85307583949573	0.0638714892372845	0.118308188884789	"cysS"	"cysteinyl-tRNA_synthetase"	343.153333333333	264.263333333333	-0.375626214062915
"gene-HI_0079"	4298.40640386277	-0.403884167563561	0.257775576591824	-1.56680540842352	0.117160182841534	0.193015310673718	"ppiB"	"peptidyl-prolyl_cis-trans_isomerase_B"	817.13	679.4	-0.265946963111629
"gene-HI_0080"	2339.57985978166	-0.541098633363829	0.341506348402736	-1.58444677791382	0.113092084051055	0.188091128340639	"."	"conserved_hypothetical_protein"	546.536666666667	412.47	-0.405172924256563
"gene-HI_0081"	1113.47442878345	-1.48985724884386	0.309137725549547	-4.8193964233753	1.43993184847639e-06	6.6221667860009e-06	"."	"conserved_hypothetical_protein"	176.89	69.1333333333333	-1.34281320857402
"gene-HI_0082"	313.419918311118	1.41742359848933	0.367981844803323	3.85188459296656	0.000117212263665701	0.000412729243574377	"."	"predicted_coding_region_HI0082"	54.3633333333333	159.053333333333	1.53155001037956
"gene-HI_0083"	164.256869822319	0.492698984186042	0.327526031666564	1.50430480801487	0.132502901668857	0.21376208437068	"."	"predicted_coding_region_HI0083"	53.78	83.4866666666667	0.625074413201636
"gene-HI_0084"	3531.42358249975	-0.0826498261423138	0.312130364704135	-0.264792649124851	0.791169199982387	0.851728916666597	"trxM"	"thioredoxin"	953.346666666667	983.893333333333	0.0454540644015453
"gene-HI_0085"	2946.22767786567	0.103642151919212	0.212235543474246	0.488335507910758	0.62531221452682	0.725162468343478	"ldhA"	"D-lactate_dehydrogenase%2C_fermentative"	242.7	285.6	0.233932358538805
"gene-HI_0086"	3701.47021542249	-0.271453732410695	0.229200008187963	-1.18435306593916	0.236273330796929	0.344634415185643	"metB"	"cystathionine_gamma-synthase"	300.606666666667	272.673333333333	-0.140213452386698
"gene-HI_0087"	3436.59848484011	-0.0810262758080782	0.268296041260346	-0.302003247708947	0.76264958716953	0.829809331049461	"thrC"	"threonine_synthase"	235.273333333333	243.26	0.0479608166149075
"gene-HI_0088"	3128.56780763499	0.369947222830888	0.25326457711065	1.4607144317275	0.144093826844943	0.227550108675924	"thrB"	"homoserine_kinase"	245.77	347.563333333333	0.498253799305003
"gene-HI_0089"	7784.66478970119	0.393365614478714	0.238198880967658	1.65141671900686	0.0986535132466506	0.167922923426672	"thrA"	"aspartokinase_I_/_homoserine_dehydrogenase_I"	233.97	336.896666666667	0.524105547260638
"gene-HI_0090"	1964.8057659626	0.506481070154387	0.22878553380827	2.21378101020511	0.0268438470081469	0.0553059401125296	"."	"conserved_hypothetical_protein"	193.35	301.826666666667	0.639835145776676
"gene-HI_0091"	1179.93637619949	-0.464580614853602	0.314464825608822	-1.47736909510991	0.139576725736492	0.222990131034561	"."	"conserved_hypothetical_protein"	102.483333333333	82.0866666666667	-0.316709546788217
"gene-HI_0092"	1257.10721982894	-0.830329351020369	0.38817009890711	-2.13908632673705	0.0324286775712582	0.0651939850134984	"."	"predicted_coding_region_HI0092"	108.866666666667	67.7033333333333	-0.677301739582723
"gene-HI_0093"	364.961555695901	0.770163384924906	0.271040988939978	2.84150153058754	0.00449016364281938	0.0116637186727782	"."	"conserved_hypothetical_protein"	20.7666666666667	38.8366666666667	0.871976443889082
"gene-HI_0094"	595.994842494444	0.701366886267945	0.323316508192651	2.16928881914693	0.030060763552861	0.0609964038098215	"."	"predicted_coding_region_HI0094"	120.24	214.616666666667	0.830602942135762
"gene-HI_0095"	1274.95633364156	1.62787193747252	1.06085881549075	1.53448499809984	0.124910381138309	0.20400333103559	"."	"conserved_hypothetical_protein"	70.0866666666667	249.096666666667	1.81483493715504
"gene-HI_0096"	45.8559304077622	-0.234133678153051	0.579715684453781	-0.40387673549605	0.686303364833553	0.773200544934834	"."	"predicted_coding_region_HI0096"	7.33	6.77666666666667	-0.0991645941025046
"gene-HI_0097"	52685.3699795197	2.05598275802364	1.01255762733767	2.03048468799692	NA	NA	"hitA"	"iron(III)_ABC_transporter%2C_periplasmic-binding_protein"	1962.84666666667	9357.01	2.25251947914446
"gene-HI_0098"	2896.01632885618	0.207540260038091	0.50974165160612	0.407147933436795	0.683899339851076	0.772044397254161	"hitB"	"iron(III)_ABC_transporter%2C_permease_protein"	160.636666666667	209.99	0.384420118009289
"gene-HI_0099"	2141.84624158558	0.774245670653038	0.310565554499982	2.49301849298642	0.0126662249101532	0.0293580186414854	"hitC"	"iron(III)_ABC_transporter%2C_ATP-binding_protein"	127.273333333333	242.656666666667	0.925628415922826
"gene-HI_0100"	272.061954370762	-0.0958835680225673	0.394741628795364	-0.24290209349132	0.808081243762497	0.86304265188605	"."	"predicted_coding_region_HI0100"	60.4866666666667	62.96	0.0568963416895551
"gene-HI_0101"	345.393039506183	-1.20858876985047	0.284749613346081	-4.24439125886208	2.19187624581226e-05	8.62401872787982e-05	"."	"predicted_coding_region_HI0101"	93.07	44.5433333333333	-1.04649481761665
"gene-HI_0102"	1482.71615548542	-1.06920059180505	0.210402992912838	-5.08167957595537	3.74112104203538e-07	1.87378562536427e-06	"dapE"	"succinyl-diaminopimelate_desuccinylase"	150.706666666667	79	-0.923212580311518
"gene-HI_0103"	555.76825573217	-0.969720914156332	0.316817376127724	-3.06081985151406	0.00220731858732571	0.0061069147582678	"."	"conserved_hypothetical_protein"	181.446666666667	100.996666666667	-0.838952788336322
"gene-HI_0104"	2326.92554586072	-1.70859930427535	0.387478976725806	-4.40952775996519	1.03596278786829e-05	4.31415809475492e-05	"htpG"	"heat_shock_protein"	160.053333333333	54.48	-1.53749882782676
"gene-HI_0105"	1155.43162819556	-0.0593099625462553	0.237551870336946	-0.24967162945141	0.802841299896484	0.859553062481309	"."	"conserved_hypothetical_protein"	119.533333333333	126.506666666667	0.0811405031149175
"gene-HI_0106"	2869.27496014616	-0.0728933002825081	0.284864963692312	-0.255887208232605	0.798037932224115	0.856514849671572	"ffh"	"signal_recognition_particle_protein"	180.373333333333	189.536666666667	0.0711062978705484
"gene-HI_0107"	1091.43423346189	-1.79444192655625	0.238413773577057	-7.52658665492861	5.20839185199472e-14	4.85466684386459e-13	"."	"conserved_hypothetical_protein"	118.906666666667	37.7333333333333	-1.63026430507247
"gene-HI_0108"	805.235961351353	0.94762674925988	0.365295491902196	2.59413754143343	0.00948285424926846	0.0227980895951378	"."	"conserved_hypothetical_protein"	52.2833333333333	110.483333333333	1.06507180114645
"gene-HI_0109"	76.0579483474389	1.16627244654128	0.493533403491402	2.36310741743258	0.0181224159691071	0.0397825831664404	"."	"predicted_coding_region_HI0109"	11.7233333333333	28.86	1.23073747964014
"gene-HI_0110"	8277.82170030936	-0.210668505586978	0.226807651262968	-0.928842146258645	0.352970898859017	0.47507975035619	"serS"	"seryl-tRNA_synthetase"	585.683333333333	554.493333333333	-0.0788124106626039
"gene-HI_0111"	2667.54717410021	0.509711364372843	0.31862851622796	1.59970416460834	0.109664227549965	0.183793027518836	"bphH"	"glutathione_transferase"	297.023333333333	461.95	0.635431097507785
"gene-HI_0112"	435.798637353316	0.238188359670463	0.277334294227627	0.858849282717865	0.390423673693206	0.508809405747881	"."	"predicted_coding_region_HI0112"	114.47	147.88	0.366631883527157
"gene-HI_0113"	4231.53483932661	-0.338559042344068	0.224731554517297	-1.50650425157812	0.131937776533585	0.213130254400406	"hemR"	"hemin_receptor"	179.893333333333	157.553333333333	-0.190171031521864
"gene-HI_0114"	62.8541384161781	-0.197646114809174	0.697191459719619	-0.283489007293145	0.776802007105073	0.840522248620844	"."	"predicted_coding_region_HI0114"	49.0366666666667	47.8733333333333	-0.0339381786962483
"gene-HI_0118"	1067.73692137531	-1.10660161656853	0.263906857008366	-4.19315219434957	2.75104737614019e-05	0.000107997197671449	"."	"conserved_hypothetical_protein"	157.776666666667	80.2866666666667	-0.9659082803506
"gene-HI_0119"	31055.1915936502	-0.0876564408748473	0.207433730496466	-0.422575637361643	0.672604904745392	0.762844651074622	"."	"conserved_hypothetical_protein"	2686.07	2795.76333333333	0.0577242707489572
"gene-HI_0120"	948.656954259863	-0.761745299441537	0.270970078935607	-2.81117864538305	0.00493603710550045	0.0126522245218931	"."	"predicted_coding_region_HI0120"	200.166666666667	129.096666666667	-0.628807272423854
"gene-HI_0121"	4767.31591265825	-0.244720714995676	0.245134256904945	-0.998312998295341	0.318127606554643	0.438683875177802	"."	"conserved_hypothetical_protein"	323	298.196666666667	-0.114899710779597
"gene-HI_0122"	879.49588555527	0.306842480537989	0.220970101256866	1.38861537734148	0.164949738824447	0.253863100422861	"metC"	"cystathionine_beta-lyase"	56.1933333333333	76.6833333333333	0.441758116114056
"gene-HI_0123"	1735.71778072809	0.489334729538895	0.237940263349751	2.05654445636893	0.0397300657602055	0.0785141775737394	"pgsA"	"phosphatidylglycerophosphate_synthase"	220.223333333333	338.593333333333	0.618304576587697
"gene-HI_0124"	10609.8132293205	0.725761631582468	0.237907040471568	3.05061014648367	0.00228376895955051	0.00627856355914282	"ppa"	"inorganic_pyrophosphatase"	1281.60666666667	2331.82	0.862996182435531
"gene-HI_0125"	2283.99664190001	3.37721127191172	0.392919170538039	8.59518070163685	8.31338721204061e-18	9.66015594039119e-17	"."	"conserved_hypothetical_protein"	25.9566666666667	296.99	3.46654990144326
"gene-HI_0126"	2550.65079181084	1.57277670162856	0.215158598739263	7.30984822751382	2.67444291834798e-13	2.33077700334027e-12	"afuC"	"ferric_ABC_transporter%2C_ATP-binding_protein"	110.666666666667	361.203333333333	1.69760122852701
"gene-HI_0129"	4538.28951283213	2.01290220222254	0.226313806473302	8.89429696574874	5.87902893219483e-19	7.37204850993927e-18	"."	"predicted_coding_region_HI0129"	80.7733333333333	359.516666666667	2.1403636013541
"gene-HI_0131"	23844.3196559845	4.25264332944559	0.236201148175986	18.0043296244991	1.80167892753832e-72	1.49539350985681e-70	"."	"afuA_protein"	194.16	4069.08333333333	4.3823290399104
"gene-HI_0132"	7268.31509474387	0.0273328533065546	0.252482289672446	0.10825651708884	0.91379221417412	0.938009322323611	"udk"	"uridine_kinase"	953.516666666667	1067.35333333333	0.162546570566645
"gene-HI_0133"	6037.40931645561	0.183411741609985	0.248939938756383	0.736771056208359	0.461261587411495	0.5775710825131	"dcd"	"deoxycytidine_triphosphate_deaminase"	817.703333333333	1021.45666666667	0.320627026401087
"gene-HI_0134"	1590.90877062921	-0.187028052028604	0.306264458839373	-0.610675011842281	0.541414751982531	0.654428510891506	"."	"predicted_coding_region_HI0134"	122.436666666667	118.326666666667	-0.0488545214022226
"gene-HI_0135"	1199.73937233136	0.334386097004926	0.329349116328393	1.0152937428	0.309965826217717	0.429467754449507	"."	"conserved_hypothetical_transmembrane_protein"	75.7266666666667	104.423333333333	0.458394229277243
"gene-HI_0136"	1496.05274145368	-0.443640079632263	0.277822595007062	-1.59684664820364	0.110299894762362	0.184326669770659	"."	"GTP-binding_protein"	96.9133333333333	78.6866666666667	-0.297166982212182
"gene-HI_0137"	1060.12994979783	-0.224021429095938	0.24450533561592	-0.916223069454162	0.359549908042258	0.482073453628966	"dnaQ"	"DNA_polymerase_III%2C_epsilon_subunit"	126.163333333333	119.356666666667	-0.0793666832258903
"gene-HI_0138"	287.645387300899	-0.182064181437918	0.330255717048533	-0.551282451867936	0.581440065988444	0.691282911872906	"rnh"	"ribonuclease_H"	56.01	54.79	-0.0312084500849855
